SOURCE	TARGET	count
WNT4 FLC	BEST4 enterocyte prog	100
WNT4 FLC	cycling cells 1	153
WNT4 FLC	cycling cells 2	150
WNT4 FLC	Goblet prog	162
WNT4 FLC	early enterocyte 1	139
WNT4 FLC	LGR5 stem	156
WNT4 FLC	early enterocyte 2	139
WNT4 FLC	Erythroblasts	0
WNT4 FLC	myofibroblast	177
WNT4 FLC	enteroendocrine	168
WNT4 FLC	SMC	179
WNT4 FLC	Neural crest cells	151
WNT4 FLC	NTS+ cells	97
WNT4 FLC	immune cells	87
WNT4 FLC	Enteric neurons	137
WNT4 FLC	UPK3B Serosa	237
WNT4 FLC	uniform progenitor	173
WNT4 FLC	Arterial EC	191
WNT4 FLC	Venous EC	197
WNT4 FLC	Lymphatic EC	168
WNT4 FLC	pericyte	174
WNT4 FLC	mesoderm 2	163
WNT4 FLC	FOXL1 FLC	207
WNT4 FLC	ICC	148
WNT4 FLC	WNT4 FLC	103
WNT4 FLC	mesoderm 1	111
mesoderm 1	enterocyte	52
mesoderm 1	BEST4 enterocyte prog	48
mesoderm 1	cycling cells 1	57
mesoderm 1	cycling cells 2	50
mesoderm 1	Goblet prog	56
mesoderm 1	early enterocyte 1	48
mesoderm 1	LGR5 stem	53
mesoderm 1	early enterocyte 2	51
mesoderm 1	Erythroblasts	1
mesoderm 1	myofibroblast	88
mesoderm 1	enteroendocrine	65
mesoderm 1	SMC	89
mesoderm 1	Neural crest cells	70
mesoderm 1	NTS+ cells	31
mesoderm 1	immune cells	38
mesoderm 1	Enteric neurons	64
mesoderm 1	UPK3B Serosa	108
mesoderm 1	uniform progenitor	70
mesoderm 1	Arterial EC	125
mesoderm 1	Venous EC	109
mesoderm 1	Lymphatic EC	84
mesoderm 1	pericyte	93
mesoderm 1	mesoderm 2	94
mesoderm 1	FOXL1 FLC	107
mesoderm 1	ICC	69
mesoderm 1	WNT4 FLC	111
mesoderm 1	mesoderm 1	20
