SOURCE	TARGET	count
UPK3B Serosa	early enterocyte 1	34
UPK3B Serosa	mesoderm 1	38
UPK3B Serosa	Neural crest cells	27
UPK3B Serosa	cycling cells 2	48
UPK3B Serosa	LGR5 stem	75
UPK3B Serosa	Goblet prog	64
UPK3B Serosa	early enterocyte 2	50
UPK3B Serosa	enteroendocrine	54
UPK3B Serosa	FOXL1 FLC	77
UPK3B Serosa	Erythroblasts	12
UPK3B Serosa	BEST4 enterocyte prog	60
UPK3B Serosa	enterocyte	55
UPK3B Serosa	pericyte	64
UPK3B Serosa	Venous EC	85
UPK3B Serosa	ICC	58
UPK3B Serosa	myofibroblast	51
UPK3B Serosa	immune cells	32
UPK3B Serosa	Arterial EC	85
UPK3B Serosa	WNT4 FLC	68
UPK3B Serosa	UPK3B Serosa	24
UPK3B Serosa	Lymphatic EC	75
Lymphatic EC	SMC	58
Lymphatic EC	NTS+ cells	49
Lymphatic EC	Enteric neurons	38
Lymphatic EC	cycling cells 1	62
Lymphatic EC	uniform progenitor	58
Lymphatic EC	mesoderm 2	60
Lymphatic EC	early enterocyte 1	34
Lymphatic EC	mesoderm 1	49
Lymphatic EC	Neural crest cells	36
Lymphatic EC	cycling cells 2	53
Lymphatic EC	LGR5 stem	62
Lymphatic EC	Goblet prog	61
Lymphatic EC	early enterocyte 2	47
Lymphatic EC	enteroendocrine	57
Lymphatic EC	FOXL1 FLC	102
Lymphatic EC	Erythroblasts	23
Lymphatic EC	BEST4 enterocyte prog	89
Lymphatic EC	enterocyte	60
Lymphatic EC	pericyte	99
Lymphatic EC	Venous EC	84
Lymphatic EC	ICC	73
Lymphatic EC	myofibroblast	78
Lymphatic EC	immune cells	45
Lymphatic EC	Arterial EC	101
Lymphatic EC	WNT4 FLC	95
Lymphatic EC	UPK3B Serosa	75
Lymphatic EC	Lymphatic EC	46
